nombre,conteo_productos,envios,ventas
Closet Skirt saturno,5,7322,2728
Closet Skirt urano,5,5388,2618
Closet Top alabama,5,6421,2662
Closet Top alaska,5,6377,2332
Closet Top brick,5,6135,2310
Closet Top calipso,15,21790,6974
Closet Top chester,5,6092,2354
Closet Top georgia,5,6421,2068
Closet Top mays,5,5960,2596
Closet Top somerville,5,6642,2376
Closet Top tennessee,5,6553,2376
Closet Top titan,5,7850,2618
Clostole Scarf washed,2,10841,5718
Clotopos Scarf boiled,4,27137,10292
Coated Jeans skinny,5,1584,682
Coated Pant anna,10,18496,5500
Coated Pant lily,6,2024,836
Coated Skirt lui,12,9525,3872
Coaty Pant marine,6,7301,3498
Coco Shirt paradise,5,3102,1166
Coco Tshirt tank,8,4510,1100
Cold Top shoulder,6,2486,836
Collection Dress knitted,10,6951,2398
Collection Dress woven,5,4837,1232
Collection Jeans jogger,11,11614,2574
Collection Jeans stretch,5,3718,1210
Collection Shirt chi,15,5918,2420
Colorfull Jacket bomb,3,8136,3607
Colour Cardigan block,5,3233,1232
Columbine Tshirt knit,15,2464,1210
Colvi Sweater vneck,3,7499,2904
Combi Jumpsuit long,4,7653,2640
Combi Jumpsuit night,2,2925,924
Combi Jumpsuit summ,4,7806,2200
Concept Pant zeze,6,4686,1254
Confetti Jumpsuit dark,7,1078,594
Constance Top closet,5,1892,770
Constella Pant closet,5,4862,2376
Constella Top closet,5,3894,2244
Constelly Top closet,5,4092,2178
Contrast Shirt hem,6,3080,1232
Conventry Scarf checks,1,2089,990
Conver Top crepe,5,1078,396
Cooler Pant ycoo,28,87524,38488
Coralie Shirt solid,3,3299,1474
Coralie Tshirt metal,2,2419,902
Cosy Scarf checks,3,7851,4309
Cosy Sweater ribbed,12,2838,1166
Cosy Sweater split,7,2112,748
Coup Sweater soft,5,7323,2948
Couture Shirt print,3,4376,1496
Cphelen Dress paris,4,6201,1826
Cpiris Skirt poly,4,3804,1936
Cream Jacket bomber,3,11369,4551
Cressida Jacket film,13,9150,2090
Crew Sweatshirt star,5,2552,880
Crewn Sweater honey,10,19438,7260
Crinkled Shirt collar,2,0,0
Crissi Jacket brown,6,4092,946
Crissi Pant colour,5,2662,1100
Crochet Tshirt tee,11,6335,2266
Croix Tshirt cotton,6,7983,2662
Crossbody Bag suede,1,1605,594
Cupro Tshirt vneck,3,6377,2398
Curve Jeans body,5,8027,4487
Curvy Jeans one,1,15746,7873
Curvy Jeans plus,1,19506,9698
Curvy Jeans print,1,15702,5454
Cute Short pant,3,2002,880
Cyril Dress film,5,4575,1848
Dahlia Jeans freeman,10,9545,3278
Dainel Jeans toxik,5,11129,6729
Daisy Bag nude,2,7675,2946
Daisy Dress long,7,1826,814
Daisy Sweater embro,7,1650,990
Daisy Sweatshirt contrast,2,2177,594
Dala Jumpsuit summ,4,13569,4839
Dalias Pant summ,6,6357,2838
Dame Skirt print,3,4288,2090
Dana Bag nude,2,9632,3320
Dana Skirt pencil,6,6819,1958
Daniela Shirt print,5,9104,2772
Danine Sweater desires,5,3849,1738
Danta Pant belt,24,12364,3630
Danta Pant crops,84,84371,33396
Daphne Bag nude,2,9038,3716
Darcey Cardigan organic,6,2090,770
Darcy Bag nude,2,6971,2836
Dark Jacket denim,6,1232,396
Dark Jeans gj,12,11810,4664
Darlim Top cerise,36,54825,29781
Davi Skirt majo,3,7917,2815
Dean Pant cerise,4,12909,4508
Dede Bag bohck,1,1034,484
Den Skirt pencil,5,3915,968
Dena Jeans denim,5,3036,1122
Dena Pant jegging,5,1452,902
Dena Skirt solid,4,3915,858
Dene Pant denim,5,2508,1254
Deneen Dress fit,4,3080,1694
Denim Jacket sew,5,4201,880
Denim Jeans anna,10,7061,3696
Denim Jeans casual,5,13129,2882
Denim Jeans york,10,12910,5390
Denim Pant short,10,7039,1408
Denim Shirt tencel,6,9413,4927
Denise Dress stripes,9,20979,8446
Denise Skirt cerise,3,2881,1254
Deper Parka softy,3,2090,726
Derbey Foulard closet,1,5696,2661
Desfarima Dress buttons,6,10645,4838
Desfatana Shirt cotton,6,7763,3234
Desfatana Top stripes,6,10403,4750
Desfenna Sweater stripes,6,8907,4157
Desfiona Pant squared,6,4618,1056
Desfleur Dress viscose,6,11304,5014
Desflicka Trench jacket,12,22763,7194
Desflorence Pant cotton,5,7741,3036
Destroyed Jeans skinny,5,2002,726
Detail Bag event,1,2199,1056
Details Tshirt season,9,20605,9105
Dezie Jeans denim,10,5719,1870
Dial Top cerise,3,1584,726
Diane Bag nude,3,8687,3188
