nivel,tasa_acept,contr_ventas
2,37.78,0.150698
2,53.13,0.051668
2,28.67,0.017614
3,35.35,0.11112
2,34.81,0.081372
3,33.06,0.023672
3,36.15,0.008416
3,42.26,0.00959
3,29.54,0.008611
3,35.78,0.049693
3,33.16,0.04891
3,40.64,0.025042
3,39.7,0.025629
3,24.02,0.015648
3,24.96,0.062984
3,32.5,0.012908
3,33.86,0.050076
3,22.95,0.017018
3,26.35,0.0133
3,32.12,0.015648
3,32.09,0.015257
3,37.25,0.014865
2,33.33,0.00959
3,25.99,0.010373
1,25.5,0.007437
2,36.45,0.015266
1,60.0,0.008807
1,37.62,0.007437
1,32.53,0.005284
1,13.27,0.005089
1,37.67,0.071043
1,29.32,0.006654
2,35.97,0.012526
1,36.84,0.00274
2,44.3,0.0137
2,29.52,0.027204
3,40.27,0.006458
1,41.68,0.0274
3,46.78,0.021324
3,35.88,0.071239
1,25.9,0.007046
1,32.78,0.107028
2,33.23,0.01781
2,46.21,0.12385
3,45.31,0.033066
1,50.11,0.055778
2,51.37,0.029944
1,27.22,0.015657
3,40.36,0.013896
1,27.45,0.00274
1,48.68,0.007241
3,32.18,0.010764
1,42.41,0.032684
1,,0.0
2,52.17,0.009394
2,45.94,0.008807
2,59.24,0.050298
1,37.34,0.082982
3,31.84,0.00959
2,36.22,0.034445
1,33.74,0.011156
3,32.93,0.020941
3,30.96,0.027987
1,44.08,0.049506
1,52.92,0.03014
1,41.12,0.027204
2,52.93,0.065759
1,45.52,0.096877
1,56.24,0.068108
3,35.8,0.036207
1,51.0,0.045014
1,30.21,0.005676
2,31.82,0.0137
2,37.14,0.007633
2,61.79,0.03288
3,38.67,0.011351
1,39.45,0.008416
1,41.61,0.03151
1,41.69,0.022507
1,39.76,0.006458
1,38.11,0.028183
2,35.59,0.00822
1,40.58,0.022703
2,46.83,0.011547
1,40.7,0.047949
2,38.06,0.018397
2,46.27,0.012134
1,27.15,0.007437
1,27.64,0.006654
1,20.01,0.006458
1,16.22,0.004697
3,27.85,0.012917
1,42.82,0.10314
1,26.83,0.004306
2,23.14,0.00548
2,30.65,0.014874
1,53.19,0.004893
2,39.36,0.01918
2,23.31,0.010764
2,45.31,0.005676
2,31.73,0.006458
3,50.0,0.001761
3,25.0,0.000196
2,,0.0
2,39.36,0.091789
1,48.98,0.009394
1,40.69,0.016636
2,38.65,0.018984
1,38.27,0.006067
2,32.17,0.028574
2,25.0,0.000196
1,45.9,0.00548
1,18.79,0.006654
1,50.0,0.000196
1,38.6,0.016244
1,21.95,0.003523
2,51.38,0.046748
1,43.34,0.01781
2,34.67,0.032684
1,33.94,0.011351
2,36.85,0.00959
3,31.73,0.009003
2,37.43,0.010764
1,32.5,0.005089
3,39.43,0.010568
2,47.93,0.015657
2,38.57,0.005284
1,29.53,0.015657
1,28.53,0.020158
2,45.5,0.043448
2,45.27,0.01781
3,25.0,0.004306
2,32.0,0.034623
2,55.75,0.02192
1,37.95,0.01233
3,40.82,0.003914
1,28.15,0.014483
2,43.58,0.081416
2,46.92,0.025247
2,48.2,0.075349
2,40.23,0.070839
2,52.04,0.070261
2,36.44,0.008416
2,37.33,0.00548
2,44.93,0.057735
1,33.55,0.010373
3,46.68,0.01918
2,43.43,0.014874
2,39.94,0.078676
2,38.1,0.007828
2,33.22,0.015853
1,38.95,0.044418
2,45.14,0.026225
3,25.86,0.002936
3,36.0,0.001761
1,41.57,0.125807
1,32.33,0.008416
1,25.8,0.00959
1,30.23,0.010177
1,34.96,0.008416
2,30.21,0.005676
1,44.25,0.046579
1,23.37,0.017418
1,48.31,0.008416
1,25.87,0.007241
2,40.62,0.007633
1,27.1,0.005676
1,31.18,0.005676
2,45.65,0.01644
1,30.5,0.011156
3,36.21,0.011547
3,54.12,0.009003
1,39.8,0.007633
2,35.96,0.008024
2,55.1,0.021137
1,33.2,0.015853
2,62.93,0.014287
2,42.42,0.00822
3,40.62,0.01781
2,40.32,0.039142
1,36.94,0.008024
2,31.81,0.016244
1,33.72,0.022694
2,37.62,0.007437
2,41.97,0.015853
2,39.9,0.01507
2,25.71,0.001761
1,,0.0
1,28.64,0.015853
3,37.12,0.035806
1,45.94,0.012134
1,34.14,0.016636
1,30.11,0.01096
2,43.34,0.020354
2,35.71,0.028574
2,43.48,0.003914
2,34.67,0.037381
2,35.86,0.014874
2,33.61,0.007828
1,41.06,0.016636
1,34.53,0.022507
1,47.44,0.007241
1,37.66,0.105062
1,39.39,0.007633
2,39.86,0.034641
1,49.16,0.027791
3,47.1,0.033262
1,42.47,0.032488
2,39.95,0.026421
2,36.87,0.050494
1,34.07,0.172155
1,47.72,0.042861
2,37.69,0.020354
2,38.85,0.045601
2,,0.0
2,35.89,0.029357
2,31.06,0.008024
1,33.33,0.011938
1,26.28,0.008024
1,49.16,0.016831
2,34.22,0.040699
1,35.51,0.00959
1,22.67,0.003327
1,44.86,0.022115
2,48.12,0.027204
1,38.89,0.00685
3,35.11,0.010373
1,36.76,0.033662
1,32.37,0.025834
1,31.06,0.02466
1,33.47,0.016636
2,34.38,0.002153
2,42.87,0.018788
2,39.99,0.117196
2,53.17,0.075545
2,42.11,0.01096
2,33.89,0.028574
2,42.74,0.037381
2,33.12,0.018788
3,34.96,0.023877
1,34.15,0.00548
1,23.48,0.006067
1,27.06,0.02192
1,18.57,0.005089
1,34.42,0.042078
2,36.76,0.026617
1,35.98,0.016048
1,44.26,0.030914
1,34.62,0.014091
1,31.19,0.032097
1,29.55,0.007633
2,50.0,0.00822
3,43.88,0.041295
1,29.17,0.01096
3,19.87,0.011156
1,30.36,0.009981
1,37.7,0.014091
2,44.01,0.023681
2,41.34,0.018201
2,36.29,0.008807
1,33.81,0.038164
3,33.51,0.013113
3,43.65,0.039534
3,53.66,0.030335
3,28.29,0.019375
3,34.44,0.038751
3,35.49,0.012917
3,29.11,0.009003
3,46.08,0.038947
1,34.41,0.043839
1,24.33,0.008807
2,25.69,0.007241
1,34.21,0.010177
1,45.95,0.009981
2,33.05,0.015266
1,28.3,0.019375
2,40.83,0.275287
2,27.95,0.007437
2,37.1,0.094725
2,35.44,0.01644
1,53.39,0.044818
1,49.01,0.033858
2,36.15,0.009198
1,47.13,0.008024
1,37.72,0.008416
2,45.86,0.016244
2,45.9,0.082982
2,38.04,0.00685
3,43.23,0.159505
1,28.75,0.009003
2,42.0,0.00822
2,47.5,0.014874
1,47.5,0.027791
2,48.18,0.012917
2,56.16,0.037577
2,47.84,0.032292
2,51.21,0.055191
2,36.21,0.014874
2,39.4,0.014874
2,31.92,0.035032
2,24.39,0.001957
2,25.81,0.014287
2,42.69,0.02055
3,24.21,0.004501
1,47.95,0.00685
2,32.0,0.013896
2,28.92,0.004697
2,43.81,0.028378
3,36.57,0.015452
1,57.08,0.019767
2,38.04,0.00685
2,36.54,0.007437
2,52.93,0.155547
1,45.57,0.007046
1,23.87,0.031705
3,34.56,0.049488
1,32.63,0.006067
1,44.77,0.03425
